time,delk1,delk2,delwb,emdx,k2vk3,k3,milliseconds,viored
1984-01-19,0.622327,0.38296,1.58367,0.0903517,1.57818,0.064332,443318400000,1.30111
1984-01-20,0.603083,0.560548,1.6472,0.0893938,1.42943,0.0677889,443404800000,1.29814
1984-01-21,0.603691,0.373853,1.57152,0.0914511,1.55217,0.0661504,443491200000,1.34807
1984-01-23,0.603878,0.355033,1.56316,0.0919109,1.53032,0.0666473,443664000000,1.21173
1984-01-24,0.620077,0.376206,1.57976,0.093901,1.523,0.0690086,443750400000,1.20122
1984-01-27,0.624851,0.348656,1.56972,0.0939884,1.55547,0.06932,444009600000,1.34437
1984-01-28,0.585313,0.329639,1.54278,0.0969246,1.51845,0.0723343,444096000000,1.25742
1984-01-29,0.666884,0.345397,1.58668,0.0954727,1.51728,0.0712425,444182400000,1.30338
1984-02-01,0.660809,0.372114,1.59545,0.093304,1.54491,0.0674634,444441600000,1.22911
1984-02-02,0.658355,0.372487,1.59457,0.0929684,1.53295,0.0675584,444528000000,1.24466
1984-02-03,0.602332,0.369285,1.56888,0.0923318,1.56101,0.0659659,444614400000,1.22633
1984-02-04,0.63449,0.370872,1.5837,0.091895,1.55167,0.0658854,444700800000,1.24937
1984-02-05,0.639127,0.368707,1.58477,0.0930854,1.55723,0.0668464,444787200000,1.27342
1984-02-06,0.576583,0.347795,1.54723,0.0922485,1.54574,0.0670272,444873600000,1.28773
1984-02-07,0.617889,0.349461,1.56696,0.0950273,1.53343,0.0694821,444960000000,1.2762
1984-02-08,0.599238,0.360759,1.56365,0.0932793,1.56316,0.0680876,445046400000,1.31131
1984-02-09,0.631833,0.363811,1.57948,0.0922986,1.53865,0.0673259,445132800000,1.24245
1984-02-10,0.620855,0.356641,1.5715,0.0922714,1.55593,0.0673374,445219200000,1.28266
1984-02-11,0.641765,0.357987,1.58127,0.0920088,1.55011,0.0675508,445305600000,1.25785
1984-02-12,0.635328,0.37515,1.58591,0.0917,1.55356,0.065852,445392000000,1.26649
1984-02-13,0.614194,0.357115,1.56874,0.0922794,1.53536,0.0672856,445478400000,1.25885
1984-02-15,0.635548,0.372478,1.58485,0.0909557,1.53685,0.0659058,445651200000,1.19023
1984-02-16,0.640732,0.37886,1.58981,0.0915825,1.55359,0.0653295,445737600000,1.24928
